YrEPCashSysBLPLSE,Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys, Plot,Location,PLLoc,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,Num_SoilDisturb,Num_SoilAboveDisturb,Num_DaysSinceLastDisturb_Placement,Num_DaysSinceLastDisturb_Collection,Num_DaysSincePlant_Placement,Num_DaysSincePlant_Collection,Total_NumofDisturb,SDR,CurrentCrop ,Num_SampleEvents,SentSample event,SE_Timing,Placement_Date,Collection_Date, Plot,Location,Intact,Chewed,Eaten,Missing,Total,MatricPotential,Gravimetric,WaxwormRotten,WaxwormTotal ,WaxwormTotal_Infected,Percent_Waxworm_Infect,MealwormTotal ,MealwormTotal_Infect,Perc_Meal_Infect,barpH,barEC,ActiveCmg/kg,SoilStandardAbsorbance,SoultionStandardAbsorbance,y-intercept,slope,ActiveC/mg/kgLEWIS, Plot,SampleDateCheck,Plot Number Check,aalpH,P,K,Mg,Ca,CEC,%CECK,%CECMg,%CECCa,zinc,copper,sulfur,OrganicMatterPerc,salts,SandPerc,SiltPerc,ClayPerc
Yr1EP3CornSys1BL4PL413-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,1,Sys1,413,1,PL413-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,413,1,2,6,2,0,10,6,0.22,9,14,3,21.43,15,9,60,6.17,66.77,332.45,0.465,1.024,-0.001,0.022,0.33,413,9/17/2021,413,6.57,11,108,215,1336.1,10.7,2.6,16.7,62.1,1.4,2.1,6.3,2.07,0.15,43.39,28,28.61
Yr1EP3CornSys3BL4PL414-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,3,Sys3,414,1,PL414-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,414,1,8,2,0,0,10,4.6,0.24,6,15,8,53.33,16,9,56.25,6.66,68.97,378.96,0.439,1.006,-0.001,0.022,0.39,414,9/17/2021,414,6.69,8,96,206,1327.1,10.6,2.3,16.2,62.6,1.2,1.4,5.6,2.09,0.1,25.11,42.36,32.53
Yr1EP1SoybeanSys1BL1PL111-1Late Summer,2021,Yr1,8,1,EP1,1,BL1,1,Sys1,111,1,PL111-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,111,1,4,3,3,0,10,4.8,0.25,12,15,2,13.33,15,11,73.33,6.56,60.3,216.65,0.485,1.046,-0.001,0.022,0.21,111,9/17/2021,111,7.11,11,94,222,2138.6,12.8,1.9,14.5,83.6,1.2,4.2,7.3,2.56,0.18,15.06,47.31,37.63
Yr1EP1SoybeanSys2BL1PL112-1Late Summer,2021,Yr1,8,1,EP1,1,BL1,2,Sys2,112,1,PL112-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,112,1,4,3,3,0,10,9,0.23,8,15,2,13.33,15,6,40,6.87,66.2,310.92,0.439,1.006,-0.001,0.022,0.32,112,9/17/2021,112,7,14,118,262,1541.3,10.2,3,21.4,75.6,1.1,3.5,6.5,2.46,0.11,12.4,52.32,35.28
Yr1EP1SoybeanSys3BL1PL114-1Late Summer,2021,Yr1,8,1,EP1,1,BL1,3,Sys3,114,1,PL114-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,114,1,0,3,7,0,10,8.5,0.24,8,15,2,13.33,15,10,66.67,6.94,56.3,320.87,0.441,1.055,-0.001,0.022,0.35,114,9/17/2021,114,7,9,115,263,1573.1,10.4,2.8,21.2,76,1,3.6,4.8,2.25,0.1,17.89,42.5,39.61
Yr1EP1SoybeanSys1BL2PL211-1Late Summer,2021,Yr1,8,1,EP1,2,BL2,1,Sys1,211,1,PL211-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,211,1,10,0,0,0,10,5,0.2,5,15,5,33.33,14,4,28.57,6.79,54.8,277.73,0.476,1.057,-0.001,0.022,0.28,211,9/17/2021,211,6.83,14,123,177,1353.4,8.6,3.7,17.2,79.1,1.2,4,6.9,2.18,0.08,15.23,50.55,34.23
Yr1EP1SoybeanSys2BL2PL212-1Late Summer,2021,Yr1,8,1,EP1,2,BL2,2,Sys2,212,1,PL212-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,212,1,6,4,0,0,10,6,0.22,9,15,3,20,15,5,33.33,6.73,52.3,288.39,0.461,1.103,-0.001,0.022,0.34,212,9/17/2021,212,6.57,19,112,132,1220.8,9.5,3,11.6,64.3,1.5,3.8,6.8,2.34,0.09,11.81,50.24,37.95
Yr1EP1SoybeanSys3BL2PL214-1Late Summer,2021,Yr1,8,1,EP1,2,BL2,3,Sys3,214,1,PL214-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,214,1,5,1,4,0,10,5,0.24,7,15,7,46.67,15,4,26.67,6.62,66.5,286.06,0.492,1.048,-0.001,0.022,0.33,214,9/17/2021,214,6.5,18,85,121,1144.4,8.9,2.4,11.3,63.9,1.3,3.7,6.2,2.3,0.07,13.69,48.11,38.2
Yr1EP1SoybeanSys3BL3PL331-1Late Summer,2021,Yr1,8,1,EP1,3,BL3,3,Sys3,331,1,PL331-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,331,1,5,2,3,0,10,11,0.21,8,15,0,0,15,3,20,7.16,63.41,302.37,0.461,1.103,-0.001,0.022,0.24,331,9/17/2021,331,7.42,17,98,303,1394.8,9.8,2.6,25.9,71.5,1.3,3.4,4.9,1.7,0.08,16.14,50.29,33.57
Yr1EP1SoybeanSys2BL3PL333-1Late Summer,2021,Yr1,8,1,EP1,3,BL3,2,Sys2,333,1,PL333-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,333,1,7,3,0,0,10,13,0.2,11,14,1,7.14,15,1,6.67,6.85,61.06,325.97,0.465,1.024,-0.001,0.022,0.25,333,9/17/2021,333,6.95,9,83,263,1354.9,9.2,2.3,23.9,73.8,1.5,4.6,5.6,1.89,0.07,19.17,46.45,34.39
Yr1EP1SoybeanSys1BL3PL334-1Late Summer,2021,Yr1,8,1,EP1,3,BL3,1,Sys1,334,1,PL334-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,334,1,9,1,0,0,10,5,0.2,12,14,2,14.29,14,6,42.86,6.62,55.75,257.7,0.464,1.021,-0.001,0.022,0.30,334,9/17/2021,334,6.62,14,67,118,1040.3,8.4,2.1,11.8,62.2,1.1,1.2,5.3,1.69,0.06,19.27,45.13,35.6
Yr1EP1SoybeanSys3BL4PL421-1Late Summer,2021,Yr1,8,1,EP1,4,BL4,3,Sys3,421,1,PL421-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,421,1,7,3,0,0,10,5,0.26,6,15,7,46.67,14,7,50,6.23,65.54,310.49,0.485,1.046,-0.001,0.022,0.29,421,9/17/2021,421,6.43,15,99,118,1116.1,8.8,2.9,11.2,63.3,1.5,1.9,5.8,2.07,0.08,20.1,44.89,35.01
Yr1EP1SoybeanSys2BL4PL423-1Late Summer,2021,Yr1,8,1,EP1,4,BL4,2,Sys2,423,1,PL423-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,423,1,2,4,4,0,10,6,0.24,9,15,4,26.67,15,6,40,6.74,50.15,105.49,0.479,1.041,-0.001,0.022,0.10,423,9/17/2021,423,6.56,15,86,132,1189.4,9.5,2.3,11.6,62.8,1.5,2.4,6.4,1.89,0.08,19.22,44.8,35.98
Yr1EP1SoybeanSys1BL4PL424-1Late Summer,2021,Yr1,8,1,EP1,4,BL4,1,Sys1,424,1,PL424-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,424,1,3,2,5,0,10,8.5,0.23,6,15,8,53.33,15,8,53.33,6.72,47.22,284.73,0.476,1.057,-0.001,0.022,0.29,424,9/17/2021,424,6.5,26,90,105,1092.3,8.6,2.7,10.2,63.7,1.2,1.1,6.4,1.8,0.08,14.53,41.16,44.31
Yr2EP2Alfalfa/OrchardgrassSys4BL1PL123-1Post Plant,2022,Yr2,9,2,EP2,1,BL1,4,Sys4,123,1,PL123-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,123,1,10,0,0,0,10,2200,0.14,9,15,0,0,15,2,13.33,6.57,42.61,345.24,0.477,1.041,-0.001,0.02,0.33,123,6/20/2022,123,6.6,10,123,166,1425.4,12.2,2.6,11.3,58.3,1.3,3.3,7.5,1.96,0.06,16.61,45.87,37.52
Yr2EP3Alfalfa/OrchardgrassSys4BL1PL133-1Post Plant,2022,Yr2,9,3,EP3,1,BL1,4,Sys4,133,1,PL133-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,0,3,443,444,443,444,3,9,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,133,1,4,6,0,0,10,2200,0.14,7,14,1,7.14,15,8,53.33,6.45,50.95,400.87,0.456,1.057,-0.001,0.02,0.40,133,6/20/2022,133,6,24,109,107,1090.7,10,2.8,8.9,54.4,1.8,3.4,8.7,2.48,0.09,19.17,46.45,34.39
Yr2EP2Alfalfa/OrchardgrassSys4BL2PL223-1Post Plant,2022,Yr2,9,2,EP2,2,BL2,4,Sys4,223,1,PL223-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,223,1,1,2,7,0,10,1450,0.14,13,15,0,0,15,1,6.67,6.88,45.56,347.41,0.429,1.053,-0.001,0.02,0.41,223,6/20/2022,223,6.91,14,93,161,1347,8.3,2.9,16.1,81,1.5,3.5,7.3,1.94,0.08,24.47,44.06,31.47
Yr2EP3Alfalfa/OrchardgrassSys4BL2PL231-1Post Plant,2022,Yr2,9,3,EP3,2,BL2,4,Sys4,231,1,PL231-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,0,3,443,444,443,444,3,9,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,231,1,5,4,1,0,10,1450,0.13,6,15,0,0,14,4,28.57,6.7,54.33,343.41,0.475,1.047,-0.001,0.021,0.38,231,6/20/2022,231,6.6,21,57,187,1498.2,11.4,1.3,13.7,65.7,1.8,3.9,7.5,2.09,0.08,34.33,39.48,26.19
Yr2EP3Alfalfa/OrchardgrassSys4BL3PL311-1Post Plant,2022,Yr2,9,3,EP3,3,BL3,4,Sys4,311,1,PL311-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,0,3,443,444,443,444,3,9,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,311,1,0,8,2,0,10,2400,0.14,9,15,4,26.67,15,1,6.67,6.8,49.06,371.38,0.483,1.049,-0.001,0.021,0.39,311,6/20/2022,311,6.6,21,80,161,1372.6,10.6,1.9,12.6,64.7,1.5,2.6,7.6,2.44,0.08,20.1,44.89,35.01
Yr2EP2Alfalfa/OrchardgrassSys4BL3PL321-1Post Plant,2022,Yr2,9,2,EP2,3,BL3,4,Sys4,321,1,PL321-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,321,1,7,3,0,0,10,1850,0.16,11,15,0,0,15,1,6.67,6.52,50.14,388.48,0.475,1.047,-0.001,0.021,0.36,321,6/20/2022,321,6.42,15,129,130,1158.1,9.4,3.5,11.5,61.6,1.4,2.7,7.4,1.86,0.07,17.61,43.13,39.26
Yr2EP3Alfalfa/OrchardgrassSys4BL4PL411-1Post Plant,2022,Yr2,9,3,EP3,4,BL4,4,Sys4,411,1,PL411-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,0,3,443,444,443,444,3,9,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,411,1,0,8,2,0,10,3150,0.14,11,15,0,0,15,2,13.33,7.03,58.26,400.36,0.477,1.051,-0.001,0.02,0.48,411,6/20/2022,411,6.8,11,85,244,1606.9,12.3,1.8,16.6,65.4,1.7,1.7,6.4,2.62,0.09,11.05,51.81,37.14
Yr2EP2Alfalfa/OrchardgrassSys4BL4PL434-1Post Plant,2022,Yr2,9,2,EP2,4,BL4,4,Sys4,434,1,PL434-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,434,1,2,8,0,0,10,3150,0.13,8,15,0,0,15,13,86.67,6.66,42.86,376.6,0.483,1.049,-0.001,0.021,0.39,434,6/20/2022,434,6.61,33,121,107,1082.3,9.4,3.3,9.5,57.5,1.9,1.2,10.5,2.04,0.08,18.62,45.69,35.69
Yr2EP2CornSys1BL1PL121-1Post Plant,2022,Yr2,9,2,EP2,1,BL1,1,Sys1,121,1,PL121-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,121,1,6,4,0,0,10,45,0.19,10,15,0,0,15,5,33.33,6.61,167.8,362.47,0.475,1.047,-0.001,0.021,0.35,121,6/20/2022,121,6.04,16,157,182,1553.8,13.1,3.1,11.6,59.4,1.6,3.3,9.1,2.11,0.19,17.82,42.6,39.58
Yr2EP2CornSys2BL1PL122-1Post Plant,2022,Yr2,9,2,EP2,1,BL1,2,Sys2,122,1,PL122-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,10,1,24,25,4,5,11,159,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,122,1,2,7,1,0,10,135,0.19,9,15,0,0,15,2,13.33,6.12,185,349.95,0.471,1.05,-0.001,0.021,0.35,122,6/20/2022,122,5.92,25,155,125,1202.1,10.8,3.7,9.6,55.4,1.8,3.4,9.7,2.17,0.22,21.14,47.29,31.57
Yr2EP2CornSys3BL1PL124-1Post Plant,2022,Yr2,9,2,EP2,1,BL1,3,Sys3,124,1,PL124-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,124,1,9,1,0,0,10,135,0.21,12,15,0,0,15,7,46.67,6.03,317.9,377.28,0.438,1.062,-0.001,0.021,0.41,124,6/20/2022,124,5.87,28,131,129,1174.2,10.1,3.3,10.7,58.2,1.9,3.7,10.9,2.27,0.34,15.5,51.28,33.23
Yr2EP2CornSys1BL2PL221-1Post Plant,2022,Yr2,9,2,EP2,2,BL2,1,Sys1,221,1,PL221-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,221,1,0,2,8,0,10,42,0.19,7,13,0,0,15,12,80,6.33,154.9,335.38,0.438,1.062,-0.001,0.021,0.30,221,6/20/2022,221,6.21,22,116,133,1207.5,10.8,2.7,10.2,55.7,1.6,3.6,9.8,1.88,0.22,25.39,43.19,31.42
Yr2EP2CornSys3BL2PL222-1Post Plant,2022,Yr2,9,2,EP2,2,BL2,3,Sys3,222,1,PL222-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,222,1,8,2,0,0,10,135,0.18,8,15,1,6.67,15,2,13.33,6.21,190.6,378.04,0.467,1.054,-0.001,0.02,0.29,222,6/20/2022,222,6.05,16,104,149,1282.2,11.3,2.4,11,56.6,1.5,2.9,9.9,1.9,0.24,22.5,40.69,36.81
Yr2EP2CornSys2BL2PL224-1Post Plant,2022,Yr2,9,2,EP2,2,BL2,2,Sys2,224,1,PL224-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,perennial,10,1,24,25,4,5,11,159,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,224,1,7,3,0,0,10,135,0.18,6,15,0,0,15,12,80,6.97,158.2,372.89,0.483,1.049,-0.001,0.021,0.34,224,6/20/2022,224,6.64,21,133,174,1305.6,10.5,3.2,13.8,62.1,1.8,3.4,8.9,1.99,0.18,22.5,43.01,34.49
Yr2EP2CornSys3BL3PL322-1Post Plant,2022,Yr2,9,2,EP2,3,BL3,3,Sys3,322,1,PL322-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,322,1,7,3,0,0,10,120,0.21,7,15,2,13.33,15,1,6.67,6.01,244,350.77,0.438,1.062,-0.001,0.021,0.38,322,6/20/2022,322,5.92,24,147,121,1083,10.7,3.5,9.4,50.6,2,1.3,10.9,2.01,0.26,17.96,45.59,36.45
Yr2EP2CornSys1BL3PL323-1Post Plant,2022,Yr2,9,2,EP2,3,BL3,1,Sys1,323,1,PL323-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,323,1,10,0,0,0,10,240,0.18,10,15,0,0,15,2,13.33,6.04,227.7,350.36,0.429,1.053,-0.001,0.02,0.38,323,6/20/2022,323,6.03,26,129,121,948.7,9.5,3.5,10.6,50,1.8,3,11,1.8,0.25,23.23,42.96,33.81
Yr2EP2CornSys2BL3PL324-1Post Plant,2022,Yr2,9,2,EP2,3,BL3,2,Sys2,324,1,PL324-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,perennial,10,1,24,25,4,5,11,159,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,324,1,7,3,0,0,10,310,0.2,9,15,4,6.67,15,2,13.33,6.37,171.7,416.06,0.483,1.049,-0.001,0.021,0.36,324,6/20/2022,324,6.41,36,156,143,1123.4,10,4,11.9,56.1,2.5,1.9,11.1,2.08,0.25,20.4,45.59,34.01
Yr2EP2CornSys3BL4PL431-1Post Plant,2022,Yr2,9,2,EP2,4,BL4,3,Sys3,431,1,PL431-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,431,1,7,3,0,0,10,120,0.19,10,15,1,6.67,15,0,0,6.12,227.1,493.27,0.477,1.041,-0.001,0.02,0.34,431,6/20/2022,431,6.12,26,130,134,1153.7,9.4,3.5,11.9,61.2,2,2.9,10.1,1.96,0.26,17.94,43.73,38.33
Yr2EP2CornSys1BL4PL432-1Post Plant,2022,Yr2,9,2,EP2,4,BL4,1,Sys1,432,1,PL432-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,10,2,24,25,4,5,12,162,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,432,1,4,6,0,0,10,310,0.19,10,15,0,0,15,3,20,6.2,285.3,387.55,0.487,1.052,-0.001,0.021,0.39,432,6/20/2022,432,6.26,32,162,134,1098.7,9.8,4.2,11.4,55.9,2.2,1.3,10.2,2.11,0.32,13.21,48.49,38.3
Yr2EP2CornSys2BL4PL433-1Post Plant,2022,Yr2,9,2,EP2,4,BL4,2,Sys2,433,1,PL433-1,Oat/Pea/Radish,Corn,C,Cereal Rye,perennial,perennial,10,1,24,25,4,5,11,159,Corn,1,SE1,Post Plant,6/24/2022,6/25/2022,433,1,4,6,0,0,10,500,0.18,9,15,1,6.67,15,3,20,6.3,219.5,379.41,0.477,1.051,-0.001,0.02,0.42,433,6/20/2022,433,6.11,40,202,121,1093,9.2,5.6,11,59.5,2.9,2.8,12.1,2.23,0.29,19.2,44.34,36.46
Yr2EP3SoybeanSys1BL1PL131-1Post Plant,2022,Yr2,9,3,EP3,1,BL1,1,Sys1,131,1,PL131-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,131,1,7,3,0,0,10,200,0.19,8,15,0,0,15,3,20,6.65,94.55,302.38,0.467,1.054,-0.001,0.02,0.36,131,6/20/2022,131,6.2,24,120,121,1165.6,9.3,3.3,10.8,62.4,1.4,3.4,9.2,2.11,0.12,16.14,50.29,33.57
Yr2EP3SoybeanSys2BL1PL132-1Post Plant,2022,Yr2,9,3,EP3,1,BL1,2,Sys2,132,1,PL132-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,132,1,1,8,1,0,10,215,0.2,7,15,0,0,15,4,26.67,6.25,108.9,299.54,0.487,1.052,-0.001,0.021,0.39,132,6/20/2022,132,6.1,37,164,112,1111.4,10.3,4.1,9.1,53.9,2.1,3.8,11.9,2.34,0.17,18.21,49.11,32.69
Yr2EP3SoybeanSys3BL1PL134-1Post Plant,2022,Yr2,9,3,EP3,1,BL1,3,Sys3,134,1,PL134-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,1,30,31,30,31,2,9,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,134,1,4,6,0,0,10,240,0.19,5,15,5,33.33,15,0,0,6.59,51.83,347.44,0.477,1.051,-0.001,0.02,0.40,134,6/20/2022,134,6.1,18,137,101,1074.6,9.4,3.8,9,57.4,1.7,3.2,8.7,2.37,0.13,19.27,45.13,35.6
Yr2EP3SoybeanSys2BL2PL232-1Post Plant,2022,Yr2,9,3,EP3,2,BL2,2,Sys2,232,1,PL232-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,232,1,0,6,4,0,10,42,0.16,11,15,0,0,16,6,37.5,6.89,70.31,397.06,0.471,1.05,-0.001,0.021,0.38,232,6/20/2022,232,6.6,26,95,190,1365.2,10.7,2.3,14.9,64.1,2,3.6,8.6,1.93,0.13,42.31,29.93,27.76
Yr2EP3SoybeanSys1BL2PL233-1Post Plant,2022,Yr2,9,3,EP3,2,BL2,1,Sys1,233,1,PL233-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,233,1,1,9,0,0,10,42,0.18,6,15,1,6.67,14,6,42.86,6.55,94.43,388.29,0.438,1.062,-0.001,0.021,0.38,233,6/20/2022,233,6.3,31,102,127,1156.4,9.3,2.8,11.4,62.2,2,4.4,9.4,1.85,0.15,43.39,28,28.61
Yr2EP3SoybeanSys3BL2PL234-1Post Plant,2022,Yr2,9,3,EP3,2,BL2,3,Sys3,234,1,PL234-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,1,30,31,30,31,2,9,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,234,1,0,7,3,0,10,60,0.18,6,15,4,26.67,15,2,13.33,6.82,70.86,356.79,0.429,1.053,-0.001,0.02,0.40,234,6/20/2022,234,6.7,22,74,177,1567.2,11.5,1.6,12.8,68.1,2,4,8.3,2.22,0.12,25.11,42.36,32.53
Yr2EP3SoybeanSys2BL3PL312-1Post Plant,2022,Yr2,9,3,EP3,3,BL3,2,Sys2,312,1,PL312-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,312,1,6,4,0,0,10,240,0.18,5,15,5,33.33,15,2,13.33,6.89,89.64,376.46,0.456,1.057,-0.001,0.02,0.37,312,6/20/2022,312,6.7,20,132,214,1563.2,11.9,2.8,14.9,65.5,1.7,1.3,9,2.52,0.15,16.48,36.93,46.59
Yr2EP3SoybeanSys1BL3PL313-1Post Plant,2022,Yr2,9,3,EP3,3,BL3,1,Sys1,313,1,PL313-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,313,1,2,8,0,0,10,101,0.2,5,15,3,20,15,6,40,6.29,109.3,413.75,0.487,1.052,-0.001,0.021,0.38,313,6/20/2022,313,6.4,23,121,156,1409.2,10.9,2.9,12,64.9,1.5,3.1,10.1,2.17,0.16,19.22,44.8,35.98
Yr2EP3SoybeanSys3BL3PL314-1Post Plant,2022,Yr2,9,3,EP3,3,BL3,3,Sys3,314,1,PL314-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,1,30,31,30,31,2,9,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,314,1,0,9,1,0,10,1450,0.18,7,15,1,6.67,15,1,6.67,6.82,59.33,370.62,0.429,1.053,-0.001,0.02,0.46,314,6/20/2022,314,6.7,16,158,180,1324.7,10.5,3.8,14.2,62.9,1.3,1.1,7.8,2.31,0.1,14.53,41.16,44.31
Yr2EP3SoybeanSys2BL4PL412-1Post Plant,2022,Yr2,9,3,EP3,4,BL4,2,Sys2,412,1,PL412-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,412,1,0,5,5,0,10,215,0.2,10,15,0,0,15,8,53.33,6.99,102.1,381.53,0.477,1.041,-0.001,0.02,0.37,412,6/20/2022,412,7.1,8,112,337,1811.4,12.2,2.4,23.1,74.5,1.5,1.8,6.6,2.58,0.14,14.42,50.06,35.51
Yr2EP3SoybeanSys1BL4PL413-1Post Plant,2022,Yr2,9,3,EP3,4,BL4,1,Sys1,413,1,PL413-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,11,0,4,5,24,25,11,157,Soybean,1,SE1,Post Plant,6/24/2022,6/25/2022,413,1,0,9,1,0,10,64,0.2,10,15,0,0,15,12,80,6.8,101.4,385.47,0.471,1.05,-0.001,0.021,0.37,413,6/20/2022,413,6.6,10,109,189,1393.2,10.8,2.6,14.6,64.4,1.1,1.8,8.1,2.27,0.16,17.29,50.47,32.24
